,id,infra_type,avg_a_score,avg_c_score,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,incident_count,avg_incident_count,scary_incident_count,avg_scary_incident_count,c_count,avg_c_count,a_count,avg_a_count
0,1,[bicycle = designated][segregated = yes],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
1,2,[bicycle_road = yes][parking][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
2,3,[bicycle_road = yes][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
3,4,[highway = cycleway][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
4,5,[bicycle = designated][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
5,6,[highway = pedestrian][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
6,7,[highway = track][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
7,8,[highway = road][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
8,9,[highway = path][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
9,10,[footway = sidewalk][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
10,11,[highway = footway][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
11,12,[busway = lane][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
12,13,[cycleway = lane][parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
13,14,[cycleway = opposite][parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
14,15,[cycleway = track][parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
15,16,[cycleway = track],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
16,17,[cycleway = opposite_track],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
17,18,[cycleway = lane],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
18,19,[cycleway = opposite],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
19,20,[cycleway = share_busway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
20,21,[cycleway = shared_lane],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
21,22,[highway = primary][cycleway = track],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
22,23,[highway = secondary][cycleway = track],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
23,24,[highway = tertiary][cycleway = track],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
24,25,[highway = residential][cycleway = track],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
25,26,[highway = primary][cycleway = lane],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
26,27,[highway = secondary][cycleway = lane],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
27,28,[highway = tertiary][cycleway = lane],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
28,29,[highway = residential][cycleway = lane],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
29,30,[highway = secondary][parking][!cycleway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
30,31,[highway = tertiary][parking][!cycleway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
31,32,[highway = residential][parking][!cycleway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
32,33,[highway = primary][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
33,34,[highway = secondary][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
34,35,[highway = tertiary][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
35,36,[highway = unclassified][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
36,37,[highway = residential][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
37,38,[highway = primary_link][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
38,39,[highway = secondary_link][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
39,40,[highway = tertiary_link][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
40,41,[highway = living_street][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
