,id,infra_type,avg_a_score,avg_c_score,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,incident_count,avg_incident_count,scary_incident_count,avg_scary_incident_count,c_count,avg_c_count,a_count,avg_a_count
0,1,[highway = primary],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
1,2,[highway = secondary],0.0,0.0,0.2541,0.5594,0.4576,0.0,201199.0,1808.0,0.0688,462.0,0.0176,31647.0,1.2051,92893.0,3.5374
2,3,[highway = tertiary],0.0,0.0,0.2541,0.5598,0.4579,0.0,201349.0,1807.0,0.0686,462.0,0.0175,31647.0,1.2013,92893.0,3.526
3,4,[highway = unclassified],0.0,0.0,0.2541,0.56,0.458,0.0,201211.0,1805.0,0.0687,462.0,0.0176,31647.0,1.2051,92893.0,3.5374
4,5,[highway = residential],0.0,0.0,0.2541,0.5598,0.4579,0.0,201331.0,1807.0,0.0687,462.0,0.0176,31647.0,1.2024,92893.0,3.5294
5,6,[highway = residential][parking][!cycleway],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
6,7,[highway = motorway_link],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
7,8,[highway = primary_link],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
8,9,[highway = secondary_link],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
9,10,[highway = tertiary_link],0.0,0.0,0.2541,0.5596,0.4578,0.0,201159.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5393
10,11,[highway = living_street],0.0,0.0,0.2541,0.5596,0.4578,0.0,201168.0,1805.0,0.0687,462.0,0.0176,31647.0,1.2053,92893.0,3.538
11,12,[highway = service],0.0,0.0,0.2541,0.5596,0.4578,0.0,201177.0,1805.0,0.0687,462.0,0.0176,31647.0,1.2053,92893.0,3.538
12,13,[highway = pedestrian],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
13,14,[highway = track],0.0,0.0,0.2541,0.5598,0.4579,0.0,201216.0,1806.0,0.0688,462.0,0.0176,31647.0,1.2047,92893.0,3.5362
14,15,[highway = footway][bicycle = yes],0.0,0.0,0.2541,0.5596,0.4578,0.0,201160.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2057,92893.0,3.5391
15,16,[highway = footway][bicycle = no],0.0,0.0,0.2541,0.5596,0.4578,0.0,201158.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5393
16,17,[highway = footway],0.0,0.0,0.2541,0.5596,0.4578,0.0,201164.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2055,92893.0,3.5385
17,18,[highway = bridleway],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
18,19,[highway = steps],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
19,20,[highway = path],0.0,0.0,0.2541,0.5596,0.4578,0.0,201183.0,1805.0,0.0687,462.0,0.0176,31647.0,1.2053,92893.0,3.538
20,21,[footway = sidewalk],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
21,22,[footway = crossing],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
22,23,[cycleway = lane],0.0,0.0,0.2541,0.5597,0.4578,0.0,201177.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2056,92893.0,3.5388
23,24,[cycleway = opposite],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
24,25,[cycleway = opposite_lane],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
25,26,[cycleway = separate],0.0,0.0,0.2541,0.5596,0.4578,0.0,201165.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2056,92893.0,3.5389
26,27,[cycleway = share_busway],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
27,28,[cycleway = shared_lane],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
28,29,[bicycle = designated],0.0,0.0,0.2541,0.5597,0.4578,0.0,201187.0,1805.0,0.0687,462.0,0.0176,31647.0,1.2053,92893.0,3.538
29,30,[bicycle_road = yes],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
30,31,[highway = cycleway],0.0,0.0,0.2541,0.5597,0.4578,0.0,201172.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2054,92893.0,3.5382
31,32,[highway = construction],,,0.2541,0.5596,0.4578,,201157.0,1805.0,0.0688,462.0,0.0176,31647.0,1.2058,92893.0,3.5395
