,id,infra_type,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,avg_a_score,avg_c_score,avg_incident_count,avg_scary_incident_count,avg_c_count,avg_a_count
0,1,[bicycle = designated][segregated = yes],1.0,0.0,0.3333,2.3031,29.0,0.0,0.1034,0.0833,0.0,0.125,0.0
1,2,[bicycle = designated][parking][!segregated],1.0,0.5763,0.7175,0.4237,557.0,0.0,0.0162,0.0435,0.0,0.0783,0.0
2,3,[bicycle_road = yes][parking][!segregated],1.0,0.5763,0.7175,0.4237,557.0,0.0,0.0162,0.0435,0.0,0.0783,0.0
3,4,[bicycle_road = yes][!segregated],1.0,0.5765,0.7177,0.4235,558.0,0.0,0.0161,0.0431,0.0,0.0776,0.0
4,5,[highway = cycleway][!segregated],0.4643,0.5139,0.4974,0.4861,340.0,0.0441,0.0382,0.0183,0.0,0.0596,0.0688
5,6,[bicycle = designated][!segregated],0.9091,0.6238,0.7189,0.3762,623.0,0.0016,0.0161,0.0286,0.0,0.0571,0.0057
6,7,[highway = pedestrian][!segregated],-1.0,0.0,-0.3333,3.8361,11.0,0.0,0.0,0.0909,0.0,0.0,0.0
7,8,[highway = track][!segregated],-1.0,1.0,0.3333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,[highway = path][!segregated],-1.0,1.0,0.3333,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,[footway = sidewalk][!segregated],0.2857,0.4581,0.4006,0.5419,258.0,0.0194,0.0078,0.0339,0.0,0.0169,0.0424
10,11,[highway = footway][!segregated],0.8816,0.6079,0.6991,0.3921,790.0,0.0114,0.0848,0.0205,0.0,0.1718,0.0231
11,12,[busway = lane][!segregated],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
12,13,[cycleway = track],1.0,1.0,1.0,0.0,162.0,0.0,0.5123,0.0,0.0,0.5355,0.0
13,14,[cycleway = opposite_track],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
14,15,[cycleway = lane],1.0,0.8399,0.8933,0.1601,514.0,0.0,0.1012,0.0089,0.0,0.1538,0.0
15,16,[cycleway = opposite],-1.0,1.0,0.3333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,[cycleway = share_busway],1.0,1.0,1.0,0.0,82.0,0.0,0.7195,0.0,0.0,0.7468,0.0
17,18,[cycleway = shared_lane],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
18,19,[cycleway = lane][parking],0.4176,0.5783,0.5247,0.4217,1289.0,0.0411,0.0295,0.0275,0.0027,0.1044,0.1456
19,20,[cycleway = opposite][parking],1.0,0.7313,0.8209,0.2687,80.0,0.0,0.05,0.0714,0.0,0.2857,0.0
20,21,[cycleway = track][parking],0.7791,0.6628,0.7016,0.3372,1694.0,0.0112,0.0396,0.0256,0.0051,0.1718,0.0487
21,22,[highway = primary][cycleway = track],1.0,1.0,1.0,0.0,108.0,0.0,0.1481,0.0,0.0,0.2254,0.0
22,23,[highway = secondary][cycleway = track],0.8173,0.5315,0.6268,0.4685,1077.0,0.0176,0.0789,0.0252,0.0056,0.2381,0.0532
23,24,[highway = tertiary][cycleway = track],1.0,1.0,1.0,0.0,661.0,0.0,0.0741,0.0,0.0,0.4579,0.0
24,25,[highway = residential][cycleway = track],-1.0,0.0,-0.3333,4.2963,10.0,0.0,0.0,0.1,0.0,0.0,0.0
25,26,[highway = primary][cycleway = lane],1.0,1.0,1.0,0.0,227.0,0.0,0.0793,0.0,0.0,0.1353,0.0
26,27,[highway = secondary][cycleway = lane],0.4742,0.4592,0.4642,0.5408,1110.0,0.0459,0.0414,0.0318,0.0024,0.1125,0.1247
27,28,[highway = tertiary][cycleway = lane],1.0,1.0,1.0,0.0,379.0,0.0,0.0554,0.0,0.0,0.1667,0.0
28,29,[highway = residential][cycleway = lane],0.7143,1.0,0.9048,0.0,69.0,0.029,0.0725,0.0,0.0,0.1724,0.069
29,30,[highway = primary][parking][!cycleway],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
30,31,[highway = secondary][parking][!cycleway],1.0,1.0,1.0,0.0,32.0,0.0,0.0625,0.0,0.0,0.6667,0.0
31,32,[highway = tertiary][parking][!cycleway],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
32,33,[highway = residential][parking][!cycleway],0.6974,0.1132,0.3079,0.8868,1674.0,0.0137,0.0317,0.0643,0.0088,0.155,0.0673
33,34,[highway = living_street][parking][!cycleway],-1.0,0.6875,0.125,0.3125,241.0,0.0,0.0,0.0385,0.0,0.0,0.0
34,35,[highway = primary][!cycleway][!parking],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
35,36,[highway = secondary][!cycleway][!parking],1.0,1.0,1.0,0.0,11.0,0.0,0.0909,0.0,0.0,0.1,0.0
36,37,[highway = tertiary][!cycleway][!parking],1.0,0.5477,0.6985,0.4523,59.0,0.0,0.6271,0.0182,0.0,0.6727,0.0
37,38,[highway = unclassified][!cycleway][!parking],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
38,39,[highway = residential][!cycleway][!parking],1.0,0.8855,0.9237,0.1145,181.0,0.0,0.326,0.0076,0.0,0.447,0.0
39,40,[highway = primary_link][!cycleway][!parking],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
40,41,[highway = secondary_link][!cycleway][!parking],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
41,42,[highway = tertiary_link][!cycleway][!parking],-1.0,-1.0,-1.0,,,1.0,0.0,,,,
42,43,[highway = living_street][!cycleway][!parking],1.0,1.0,1.0,0.0,13.0,0.0,0.0769,0.0,0.0,0.1,0.0
