,id,infra_type,avg_a_score,avg_c_score,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,incident_count,avg_incident_count,scary_incident_count,avg_scary_incident_count,c_count,avg_c_count,a_count,avg_a_count
0,1,[bicycle = designated][segregated = yes],0.0831,0.1092,0.5678,0.9321,0.8107,0.0,2069.0,6.0,0.0117,0.0,0.0,226.0,0.4405,172.0,0.3353
1,2,[bicycle_road = yes][parking][!segregated],0.0,0.2,1.0,1.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0
2,3,[bicycle_road = yes][!segregated],0.0126,0.1368,0.9154,0.8288,0.8577,0.0,870.0,0.0,0.0,1.0,0.0161,119.0,1.9194,11.0,0.1774
3,4,[highway = cycleway][!segregated],0.0611,0.1063,0.6351,0.9577,0.8502,0.0,442.0,1.0,0.0082,0.0,0.0,47.0,0.3852,27.0,0.2213
4,5,[bicycle = designated][!segregated],0.0209,0.1336,0.8649,1.0,0.955,0.0,479.0,0.0,0.0,0.0,0.0,64.0,0.6809,10.0,0.1064
5,6,[highway = pedestrian][!segregated],0.0163,0.0721,0.8158,0.6702,0.7187,0.0,430.0,3.0,0.05,0.0,0.0,31.0,0.5167,7.0,0.1167
6,7,[highway = track][!segregated],0.2778,0.5556,0.6667,1.0,0.8889,0.0,18.0,0.0,0.0,0.0,0.0,10.0,0.5556,5.0,0.2778
7,8,[highway = path][!segregated],0.0119,0.3869,0.9701,1.0,0.99,0.0,168.0,0.0,0.0,0.0,0.0,65.0,0.6566,2.0,0.0202
8,9,[footway = sidewalk][!segregated],0.0033,0.1283,0.975,1.0,0.9917,0.0,304.0,0.0,0.0,0.0,0.0,39.0,0.4333,1.0,0.0111
9,10,[highway = footway][!segregated],0.0335,0.2751,0.8915,0.894,0.8932,0.0,1763.0,8.0,0.0114,0.0,0.0,485.0,0.6929,59.0,0.0843
10,11,[cycleway = lane][parking],0.0,0.0972,1.0,1.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,7.0,0.5385,0.0,0.0
11,12,[cycleway = opposite][parking],0.0,0.0,-1.0,0.7611,0.1741,0.0,489.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0
12,13,[cycleway = track][parking],0.022,0.1774,0.8897,1.0,0.9632,0.0,682.0,0.0,0.0,0.0,0.0,121.0,2.814,15.0,0.3488
13,14,[cycleway = track],0.1096,0.1878,0.6315,0.8914,0.8048,0.0,1688.0,5.0,0.0197,0.0,0.0,317.0,1.248,185.0,0.7283
14,15,[cycleway = opposite_track],0.1,0.0,0.0,1.0,0.6667,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
15,16,[cycleway = lane],0.0939,0.1838,0.6619,0.8448,0.7838,0.0,5762.0,24.0,0.0261,1.0,0.0011,1059.0,1.1536,541.0,0.5893
16,17,[cycleway = opposite],0.0239,0.0469,0.6629,0.6579,0.6596,0.0,1257.0,1.0,0.0106,3.0,0.0319,59.0,0.6277,30.0,0.3191
17,18,[cycleway = share_busway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
18,19,[cycleway = shared_lane],0.005,0.1649,0.9705,0.5237,0.6726,0.0,2989.0,22.0,0.0991,3.0,0.0135,493.0,2.2207,15.0,0.0676
19,20,[highway = primary][cycleway = track],0.0,0.8333,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.8333,0.0,0.0
20,21,[highway = secondary][cycleway = track],0.0947,0.2308,0.7091,1.0,0.903,0.0,169.0,0.0,0.0,0.0,0.0,39.0,0.8667,16.0,0.3556
