,id,infra_type,avg_a_score,avg_c_score,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,incident_count,avg_incident_count,scary_incident_count,avg_scary_incident_count,c_count,avg_c_count,a_count,avg_a_count
0,1,[bicycle = designated][segregated = yes],0.3017,0.2239,0.426,0.6231,0.5574,0.0,4193.0,57.0,0.042,11.0,0.0081,939.0,0.692,1265.0,0.9322
1,2,[bicycle = designated][parking][!segregated],0.1087,0.2609,0.7059,0.0,0.2353,0.0,46.0,6.0,0.3158,0.0,0.0,12.0,0.6316,5.0,0.2632
2,3,[bicycle_road = yes][parking][!segregated],0.1316,0.1579,0.5455,0.0,0.1818,0.0,38.0,6.0,0.5455,0.0,0.0,6.0,0.5455,5.0,0.4545
3,4,[bicycle_road = yes][!segregated],0.1085,0.1725,0.6138,0.0,0.2046,0.0,516.0,11.0,0.0957,3.0,0.0261,89.0,0.7739,56.0,0.487
4,5,[highway = cycleway][!segregated],0.24,0.2231,0.4817,0.4496,0.4603,0.0,650.0,1.0,0.0043,4.0,0.0174,145.0,0.6304,156.0,0.6783
5,6,[bicycle = designated][!segregated],0.1733,0.2763,0.6146,0.5344,0.5611,0.0,1281.0,11.0,0.0264,3.0,0.0072,354.0,0.8489,222.0,0.5324
6,7,[highway = pedestrian][!segregated],0.0288,0.3205,0.9174,0.6167,0.7169,0.0,312.0,5.0,0.0365,0.0,0.0,100.0,0.7299,9.0,0.0657
7,8,[highway = track][!segregated],0.0148,0.6938,0.9791,1.0,0.993,0.0,405.0,0.0,0.0,0.0,0.0,281.0,1.1907,6.0,0.0254
8,9,[highway = path][!segregated],0.1509,0.3491,0.6982,0.7951,0.7628,0.0,1226.0,7.0,0.0112,1.0,0.0016,428.0,0.6859,185.0,0.2965
9,10,[footway = sidewalk][!segregated],0.0,0.6154,1.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,8.0,0.7273,0.0,0.0
10,11,[highway = footway][!segregated],0.0946,0.2987,0.7595,0.0,0.2532,0.0,1734.0,14.0,0.0238,7.0,0.0119,518.0,0.881,164.0,0.2789
11,12,[cycleway = lane][parking],0.0766,0.5693,0.8814,0.0,0.2938,0.0,274.0,15.0,0.2941,1.0,0.0196,156.0,3.0588,21.0,0.4118
12,13,[cycleway = opposite][parking],0.1515,0.1515,0.5,0.0,0.1667,0.0,231.0,15.0,0.2459,0.0,0.0,35.0,0.5738,35.0,0.5738
13,14,[cycleway = track][parking],0.0305,0.6041,0.952,0.4734,0.6329,0.0,197.0,4.0,0.04,0.0,0.0,119.0,1.19,6.0,0.06
14,15,[cycleway = track],0.2564,0.3104,0.5476,0.0,0.1825,0.0,3889.0,129.0,0.1355,16.0,0.0168,1207.0,1.2679,997.0,1.0473
15,16,[cycleway = opposite_track],0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
16,17,[cycleway = lane],0.1167,0.4227,0.7837,0.0,0.2612,0.0,2503.0,223.0,0.3961,25.0,0.0444,1058.0,1.8792,292.0,0.5187
17,18,[cycleway = opposite],0.1261,0.1496,0.5426,0.0,0.1809,0.0,2085.0,41.0,0.1093,29.0,0.0773,312.0,0.832,263.0,0.7013
18,19,[cycleway = share_busway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
19,20,[cycleway = shared_lane],0.3264,0.5208,0.6148,0.0,0.2049,0.0,144.0,6.0,0.1364,2.0,0.0455,75.0,1.7045,47.0,1.0682
20,21,[highway = primary][cycleway = track],0.6705,0.2114,0.2397,0.9575,0.7182,0.0,1050.0,2.0,0.0061,0.0,0.0,222.0,0.6789,704.0,2.1529
21,22,[highway = secondary][cycleway = track],0.1394,0.4213,0.7514,0.0,0.2505,0.0,940.0,14.0,0.0471,4.0,0.0135,396.0,1.3333,131.0,0.4411
22,23,[highway = tertiary][cycleway = track],0.1051,0.3538,0.7709,0.0,0.257,0.0,1303.0,108.0,0.4408,12.0,0.049,461.0,1.8816,137.0,0.5592
23,24,[highway = residential][cycleway = track],0.0412,0.2097,0.8358,0.8936,0.8743,0.0,534.0,2.0,0.0444,0.0,0.0,112.0,2.4889,22.0,0.4889
24,25,[highway = primary][cycleway = lane],0.131,0.2869,0.6865,0.6836,0.6846,0.0,603.0,7.0,0.0565,0.0,0.0,173.0,1.3952,79.0,0.6371
25,26,[highway = secondary][cycleway = lane],0.1226,0.4606,0.7898,0.0,0.2633,0.0,775.0,22.0,0.0924,2.0,0.0084,357.0,1.5,95.0,0.3992
26,27,[highway = tertiary][cycleway = lane],0.0832,0.4841,0.8534,0.0,0.2845,0.0,1070.0,191.0,1.1718,23.0,0.1411,518.0,3.1779,89.0,0.546
27,28,[highway = residential][cycleway = lane],0.75,0.1667,0.1818,0.0,0.0606,0.0,36.0,3.0,0.15,0.0,0.0,6.0,0.3,27.0,1.35
28,29,[highway = primary][parking][!cycleway],0.1429,0.6,0.8077,1.0,0.9359,0.0,35.0,0.0,0.0,0.0,0.0,21.0,0.84,5.0,0.2
29,30,[highway = secondary][parking][!cycleway],0.0088,0.1239,0.9333,1.0,0.9778,0.0,113.0,0.0,0.0,0.0,0.0,14.0,0.4,1.0,0.0286
30,31,[highway = tertiary][parking][!cycleway],0.0,0.6364,1.0,0.0,0.3333,0.0,154.0,12.0,0.3333,1.0,0.0278,98.0,2.7222,0.0,0.0
31,32,[highway = residential][parking][!cycleway],0.3558,0.1779,0.3333,0.0,0.1111,0.0,163.0,8.0,0.0597,0.0,0.0,29.0,0.2164,58.0,0.4328
32,33,[highway = living_street][parking][!cycleway],0.0,0.0,-1.0,1.0,0.3333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,[highway = primary][!cycleway][!parking],0.2514,0.3173,0.5579,0.9409,0.8132,0.0,1245.0,3.0,0.0076,0.0,0.0,395.0,0.995,313.0,0.7884
34,35,[highway = secondary][!cycleway][!parking],0.0767,0.1933,0.7159,0.0,0.2386,0.0,2256.0,6.0,0.0155,76.0,0.1959,436.0,1.1237,173.0,0.4459
35,36,[highway = tertiary][!cycleway][!parking],0.1672,0.2384,0.5878,0.0,0.1959,0.0,4271.0,92.0,0.1034,98.0,0.1101,1018.0,1.1438,714.0,0.8022
36,37,[highway = unclassified][!cycleway][!parking],0.1788,0.6642,0.7879,0.9295,0.8823,0.0,274.0,1.0,0.0057,0.0,0.0,182.0,1.046,49.0,0.2816
37,38,[highway = residential][!cycleway][!parking],0.2412,0.2305,0.4887,0.0,0.1629,0.0,5899.0,53.0,0.0359,117.0,0.0793,1360.0,0.922,1423.0,0.9647
38,39,[highway = primary_link][!cycleway][!parking],0.1379,0.2759,0.6667,0.0,0.2222,0.0,29.0,1.0,0.0556,0.0,0.0,8.0,0.4444,4.0,0.2222
39,40,[highway = secondary_link][!cycleway][!parking],0.0149,0.2388,0.9412,0.0,0.3137,0.0,67.0,1.0,0.0556,0.0,0.0,16.0,0.8889,1.0,0.0556
40,41,[highway = tertiary_link][!cycleway][!parking],0.1,0.5,0.8333,1.0,0.9444,0.0,20.0,0.0,0.0,0.0,0.0,10.0,1.1111,2.0,0.2222
41,42,[highway = living_street][!cycleway][!parking],0.0323,0.4097,0.927,0.4864,0.6333,0.0,310.0,2.0,0.019,1.0,0.0095,127.0,1.2095,10.0,0.0952
