,id,infra_type,avg_a_score,avg_c_score,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,incident_count,avg_incident_count,scary_incident_count,avg_scary_incident_count,c_count,avg_c_count,a_count,avg_a_count
0,1,[bicycle = designated][segregated = yes],0.0556,0.216,0.7953,0.7829,0.787,0.0,1583.0,6.0,0.0392,1.0,0.0065,342.0,2.2353,88.0,0.5752
1,2,[bicycle = designated][parking][!segregated],0.0169,0.2696,0.9409,1.0,0.9803,0.0,827.0,0.0,0.0,0.0,0.0,223.0,7.4333,14.0,0.4667
2,3,[bicycle_road = yes][parking][!segregated],0.0169,0.2696,0.9409,1.0,0.9803,0.0,827.0,0.0,0.0,0.0,0.0,223.0,7.4333,14.0,0.4667
3,4,[bicycle_road = yes][!segregated],0.0261,0.264,0.91,0.9027,0.9051,0.0,1072.0,3.0,0.0732,0.0,0.0,283.0,6.9024,28.0,0.6829
4,5,[highway = cycleway][!segregated],0.0849,0.299,0.7788,0.8638,0.8355,0.0,836.0,4.0,0.036,1.0,0.009,250.0,2.2523,71.0,0.6396
5,6,[bicycle = designated][!segregated],0.0624,0.2794,0.8176,0.9614,0.9135,0.0,1700.0,3.0,0.0214,0.0,0.0,475.0,3.3929,106.0,0.7571
6,7,[highway = pedestrian][!segregated],0.0335,0.2439,0.8792,0.7601,0.7998,0.0,537.0,3.0,0.0192,0.0,0.0,131.0,0.8397,18.0,0.1154
7,8,[highway = track][!segregated],0.1526,0.3922,0.7199,0.8929,0.8352,0.0,1206.0,9.0,0.013,1.0,0.0014,473.0,0.6835,184.0,0.2659
8,9,[highway = path][!segregated],0.0883,0.4124,0.8237,0.8435,0.8369,0.0,759.0,3.0,0.0096,0.0,0.0,313.0,0.9968,67.0,0.2134
9,10,[footway = sidewalk][!segregated],0.0595,0.4148,0.8745,0.7654,0.8018,0.0,487.0,5.0,0.0211,0.0,0.0,202.0,0.8523,29.0,0.1224
10,11,[highway = footway][!segregated],0.0763,0.4585,0.8573,0.7994,0.8187,0.0,2792.0,19.0,0.0165,0.0,0.0,1280.0,1.1111,213.0,0.1849
11,12,[busway = lane][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
