,id,infra_type,avg_a_score,avg_c_score,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,incident_count,avg_incident_count,scary_incident_count,avg_scary_incident_count,c_count,avg_c_count,a_count,avg_a_count
0,1,[bicycle = designated][segregated = yes],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
1,2,[highway = cycleway][!segregated],0.0,0.0,-1.0,1.0,0.3333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,[bicycle = designated][!segregated],0.8571,0.2857,0.25,1.0,0.75,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.3333,6.0,1.0
3,4,[highway = pedestrian][!segregated],0.0,0.0,-1.0,0.6833,0.1222,0.0,113.0,1.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.0
4,5,[highway = track][!segregated],0.0,0.0889,1.0,1.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,4.0,0.1026,0.0,0.0
5,6,[highway = road][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
6,7,[highway = path][!segregated],0.3636,0.0909,0.2,0.0,0.0667,0.0,11.0,1.0,0.0909,0.0,0.0,1.0,0.0909,4.0,0.3636
7,8,[footway = sidewalk][!segregated],0.0,0.5,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
8,9,[highway = footway][!segregated],0.0194,0.1548,0.8889,0.0,0.2963,0.0,155.0,10.0,0.1333,0.0,0.0,24.0,0.32,3.0,0.04
9,10,[cycleway = opposite][parking],0.0,0.0364,1.0,1.0,1.0,0.0,110.0,0.0,0.0,0.0,0.0,4.0,0.2667,0.0,0.0
10,11,[cycleway = track],0.0096,0.4258,0.978,0.8352,0.8828,0.0,209.0,1.0,0.0185,0.0,0.0,89.0,1.6481,2.0,0.037
11,12,[cycleway = lane],0.0348,0.6,0.9452,0.0718,0.3629,0.0,230.0,7.0,0.07,0.0,0.0,138.0,1.38,8.0,0.08
12,13,[cycleway = opposite],0.0,0.0923,1.0,1.0,1.0,0.0,130.0,0.0,0.0,0.0,0.0,12.0,0.5217,0.0,0.0
13,14,[cycleway = share_busway],0.5,0.0,0.0,1.0,0.6667,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
14,15,[cycleway = shared_lane],0.0,0.7097,1.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,44.0,1.76,0.0,0.0
15,16,[highway = primary][cycleway = track],0.0171,0.3077,0.9474,1.0,0.9825,0.0,117.0,0.0,0.0,0.0,0.0,36.0,1.8,2.0,0.1
16,17,[highway = secondary][cycleway = track],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
17,18,[highway = tertiary][cycleway = track],0.0,0.5761,1.0,0.7269,0.8179,0.0,92.0,1.0,0.0294,0.0,0.0,53.0,1.5588,0.0,0.0
18,19,[highway = residential][cycleway = track],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
19,20,[highway = primary][cycleway = lane],0.0721,0.4865,0.871,0.7399,0.7836,0.0,111.0,1.0,0.027,0.0,0.0,54.0,1.4595,8.0,0.2162
20,21,[highway = tertiary][cycleway = lane],0.0,0.7184,1.0,0.0,0.3333,0.0,103.0,6.0,0.1176,0.0,0.0,74.0,1.451,0.0,0.0
21,22,[highway = residential][cycleway = lane],0.0,1.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
22,23,[highway = residential][parking][!cycleway],0.008,0.008,0.5,0.7975,0.6983,0.0,125.0,1.0,0.0286,0.0,0.0,1.0,0.0286,1.0,0.0286
23,24,[highway = living_street][parking][!cycleway],0.0,0.0,-1.0,0.2446,-0.1703,0.0,46.0,1.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0
24,25,[highway = primary][!cycleway][!parking],0.0,0.2963,1.0,1.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,8.0,0.8,0.0,0.0
25,26,[highway = secondary][!cycleway][!parking],0.0,1.0,1.0,1.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0,2.0,0.0,0.0
26,27,[highway = tertiary][!cycleway][!parking],0.0259,0.7306,0.9658,0.9142,0.9314,0.0,386.0,2.0,0.0105,0.0,0.0,282.0,1.4842,10.0,0.0526
27,28,[highway = unclassified][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
28,29,[highway = residential][!cycleway][!parking],0.0482,0.2282,0.8255,0.2158,0.419,0.0,539.0,7.0,0.0304,2.0,0.0087,123.0,0.5348,26.0,0.113
29,30,[highway = primary_link][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
30,31,[highway = tertiary_link][!cycleway][!parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
31,32,[highway = living_street][!cycleway][!parking],0.0,0.0,-1.0,1.0,0.3333,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
