,id,infra_type,avg_a_score,avg_c_score,avg_p_score,avg_s_score,avg_m_p_score,avg_danger_score,count,incident_count,avg_incident_count,scary_incident_count,avg_scary_incident_count,c_count,avg_c_count,a_count,avg_a_count
0,1,[bicycle = designated][segregated = yes],0.0828,0.1259,0.6033,0.8126,0.7428,0.0,7004.0,34.0,0.0829,4.0,0.0098,882.0,2.1512,580.0,1.4146
1,2,[bicycle_road = yes][!segregated],0.1152,0.0,0.0,0.9523,0.6349,0.0,330.0,1.0,0.04,0.0,0.0,0.0,0.0,38.0,1.52
2,3,[highway = cycleway][!segregated],0.1828,0.0998,0.3532,0.8814,0.7053,0.0,2725.0,8.0,0.0207,1.0,0.0026,272.0,0.7047,498.0,1.2902
3,4,[bicycle = designated][!segregated],0.0771,0.0857,0.5263,0.9001,0.7755,0.0,1284.0,2.0,0.0215,1.0,0.0108,110.0,1.1828,99.0,1.0645
4,5,[highway = pedestrian][!segregated],0.0,0.1476,1.0,1.0,1.0,0.0,420.0,0.0,0.0,0.0,0.0,62.0,2.2143,0.0,0.0
5,6,[highway = track][!segregated],0.0596,0.0,0.0,0.5649,0.3766,0.0,151.0,4.0,0.5714,0.0,0.0,0.0,0.0,9.0,1.2857
6,7,[highway = road][!segregated],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
7,8,[highway = path][!segregated],0.0106,0.0505,0.8261,1.0,0.942,0.0,376.0,0.0,0.0,0.0,0.0,19.0,0.76,4.0,0.16
8,9,[footway = sidewalk][!segregated],0.0129,0.1717,0.9302,0.3614,0.551,0.0,233.0,4.0,0.0412,0.0,0.0,40.0,0.4124,3.0,0.0309
9,10,[highway = footway][!segregated],0.0413,0.1964,0.8263,0.7769,0.7934,0.0,2082.0,8.0,0.0157,0.0,0.0,409.0,0.8035,86.0,0.169
10,11,[busway = lane][!segregated],0.0909,0.1818,0.6667,0.1573,0.3271,0.0,253.0,5.0,0.0962,1.0,0.0192,46.0,0.8846,23.0,0.4423
11,12,[cycleway = lane][parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
12,13,[cycleway = opposite][parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
13,14,[cycleway = track][parking],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
14,15,[cycleway = track],0.0068,0.1014,0.9375,0.8525,0.8808,0.0,148.0,1.0,0.0476,0.0,0.0,15.0,0.7143,1.0,0.0476
15,16,[cycleway = opposite_track],0.35,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0769,0.0,0.0,0.0,0.0,7.0,0.5385
16,17,[cycleway = lane],0.1639,0.0922,0.3599,0.306,0.324,0.0,1812.0,27.0,0.0565,7.0,0.0146,167.0,0.3494,297.0,0.6213
17,18,[cycleway = opposite],0.0693,0.2267,0.766,0.69,0.7153,0.0,953.0,13.0,0.0466,1.0,0.0036,216.0,0.7742,66.0,0.2366
18,19,[cycleway = share_busway],0.0699,0.1397,0.6667,0.2977,0.4207,0.0,229.0,3.0,0.0612,1.0,0.0204,32.0,0.6531,16.0,0.3265
19,20,[cycleway = opposite_share_busway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
20,21,[cycleway = shared_lane],0.0275,0.1209,0.8148,0.5905,0.6653,0.0,364.0,2.0,0.0526,1.0,0.0263,44.0,1.1579,10.0,0.2632
21,22,[highway = primary][cycleway = track],0.0,0.25,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22,23,[highway = secondary][cycleway = track],0.0,0.0,-1.0,1.0,0.3333,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,[highway = tertiary][cycleway = track],0.0,0.0,-1.0,1.0,0.3333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,[highway = residential][cycleway = track],0.0,0.1359,1.0,0.8175,0.8783,0.0,103.0,1.0,0.25,0.0,0.0,14.0,3.5,0.0,0.0
25,26,[highway = primary][cycleway = lane],3.5,0.0,0.0,1.0,0.6667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
26,27,[highway = secondary][cycleway = lane],0.3581,0.0574,0.1381,0.0,0.046,0.0,645.0,13.0,0.0474,4.0,0.0146,37.0,0.135,231.0,0.8431
27,28,[highway = tertiary][cycleway = lane],0.1036,0.045,0.303,0.0,0.101,0.0,222.0,4.0,0.0656,1.0,0.0164,10.0,0.1639,23.0,0.377
28,29,[highway = residential][cycleway = lane],0.0475,0.1346,0.7391,0.7008,0.7136,0.0,758.0,10.0,0.0781,1.0,0.0078,102.0,0.7969,36.0,0.2813
29,30,[highway = primary][parking][!cycleway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
30,31,[highway = secondary][parking][!cycleway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
31,32,[highway = tertiary][parking][!cycleway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
32,33,[highway = residential][parking][!cycleway],0.0,0.0,-1.0,1.0,0.3333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,[highway = living_street][parking][!cycleway],1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,
34,35,[highway = primary][!cycleway][!parking],0.0021,0.031,0.9375,0.8992,0.912,0.0,968.0,7.0,0.0452,0.0,0.0,30.0,0.1935,2.0,0.0129
35,36,[highway = secondary][!cycleway][!parking],0.1179,0.14,0.5429,0.8774,0.7659,0.0,407.0,2.0,0.0097,0.0,0.0,57.0,0.2767,48.0,0.233
36,37,[highway = tertiary][!cycleway][!parking],0.0905,0.1662,0.6474,0.7749,0.7324,0.0,674.0,5.0,0.0407,0.0,0.0,112.0,0.9106,61.0,0.4959
37,38,[highway = unclassified][!cycleway][!parking],0.6667,0.6667,0.5,1.0,0.8333,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
38,39,[highway = residential][!cycleway][!parking],0.1776,0.1564,0.4682,0.815,0.6994,0.0,2404.0,18.0,0.029,1.0,0.0016,376.0,0.6065,427.0,0.6887
39,40,[highway = primary_link][!cycleway][!parking],0.0,0.3333,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
40,41,[highway = secondary_link][!cycleway][!parking],0.0,0.25,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.0
